,Unnamed: 0,city,station,station_name,year,month,day,time_span,season,PM2.5,PRES,TEMP,DEWP,HUMI,IRAIN,pm25_camq,pm10_camq,PM25_cv,cbwd,CV_Iws,NE_Iws,NW_Iws,SE_Iws,SW_Iws,dem,geo,ndv,typ,road,dem_10,dem_25,dem_50,dem_75,dem_100,ndv_10,ndv_25,ndv_50,ndv_75,ndv_100,road_10,road_25,road_50,road_75,road_100,geo_10,geo_25,geo_50,geo_75,geo_100,typ_50,typ_100,typ_150,typ_200,lon,lat,TerraAOD,AquaAOD,Y-M-D
0,354,Baoding,Baoding_Dibiaoshuichang,Dibiaoshuichang,2015,12,21,355,4,425.79166666666674,1025.1833333333334,-3.5958333333333337,-4.679166666666666,92.5,0.0,345.55757789990724,472.35920962871523,294.47291064394835,NE,0.46,3.46,1.0,2.0375,0.0,1161,12,0.2879,31,0.08385748133,1169.1,1161.24,1149.28,1142.9733333333334,1126.24,0.31919000000000003,0.3769560000000001,0.3942359999999999,0.4088506666666666,0.410078,0.109036037473,0.1264371674768,0.1607140386752,0.15867614830333332,0.1478901500928,12,14,12,12,19,52,52,52,52,115.461,38.842,,81.0,2015-12-21
1,1434,Baoding,Baoding_Huadianerqu,Huadianerqu,2015,12,21,355,4,458.83333333333326,1025.1833333333334,-3.5958333333333337,-4.679166666666666,92.5,0.0,296.12804210593464,375.3604575833694,291.5275469847158,NE,0.46,3.46,1.0,2.0375,0.0,1197,17,0.304,21,0.02880201715,1189.0,1159.96,1139.94,1130.6,1113.47,0.35718999999999995,0.377276,0.40007600000000004,0.39018400000000003,0.389158,0.065930708388,0.1362772551308,0.159703656338,0.15739175310866668,0.14949218212999998,12,12,12,12,12,52,52,52,52,115.522,38.896,,89.0,2015-12-21
2,2520,Baoding,Baoding_Jiancezhan,Jiancezhan,2015,12,21,355,4,454.75,1025.1833333333334,-3.5958333333333337,-4.679166666666666,92.5,0.0,296.12804210593464,375.3604575833694,292.81686080237233,NE,0.46,3.46,1.0,2.0375,0.0,1197,19,0.304,21,0.02880201715,1189.0,1159.96,1145.18,1130.6,1113.47,0.35718999999999995,0.377276,0.40007600000000004,0.39018400000000003,0.389158,0.065930708388,0.1430104780964,0.150530648334,0.15739175310866665,0.15013477213629994,12,12,12,12,12,52,52,52,52,115.521,38.871,,89.0,2015-12-21
3,3614,Baoding,Baoding_Jiaopianchang,Jiaopianchang,2015,12,21,355,4,355.875,1025.1833333333334,-3.5958333333333337,-4.679166666666666,92.5,0.0,265.5891927111525,333.6262713102877,292.72356001756583,NE,0.46,3.46,1.0,2.0375,0.0,1161,21,0.36,12,0.08385748133,1152.8,1157.0,1150.88,1145.2933333333333,1129.43,0.31919000000000003,0.3868760000000001,0.395676,0.417864,0.417558,0.109036037473,0.135621004486,0.161735488958,0.1579761289504,0.14883762597509995,12,12,12,12,12,52,52,52,52,115.44200000000001,38.876,,236.25,2015-12-21
4,4708,Baoding,Baoding_Jiedaizhongxin,Jiedaizhongxin,2015,12,21,355,4,405.25,1025.1833333333334,-3.5958333333333337,-4.679166666666666,92.5,0.0,265.5891927111525,333.6262713102877,290.811197240444,NE,0.46,3.46,1.0,2.0375,0.0,1161,14,0.2879,52,0.02880201715,1169.1,1165.16,1151.24,1144.6266666666668,1121.99,0.33279000000000003,0.376956,0.3936759999999999,0.4088506666666665,0.40831799999999996,0.08542059833099999,0.1355238703256,0.1657589958374,0.1611953861342667,0.1527561565012,12,19,12,12,12,52,52,52,52,115.471,38.911,,302.0,2015-12-21
5,5802,Baoding,Baoding_Youyongguan,Youyongguan,2015,12,21,355,4,372.5,1025.1833333333334,-3.5958333333333337,-4.679166666666666,92.5,0.0,296.12804210593464,375.3604575833694,293.2842133813722,NE,0.46,3.46,1.0,2.0375,0.0,1171,20,0.3,21,0.02880201715,1179.0,1164.2,1147.82,1138.6133333333332,1119.8,0.34919,0.381116,0.40071599999999996,0.397064,0.400278,0.08542059833099999,0.13045181038280002,0.15962260734699998,0.15633159502866667,0.14927265286389998,17,12,19,12,12,52,52,52,52,115.493,38.863,,90.0,2015-12-21
6,6896,Beijing,Beijing_Aotizhongxin,Aotizhongxin,2015,12,21,355,4,245.5833333333333,1023.0416666666664,-1.6375000000000004,-4.715044339522239,81.75,0.0,210.30623034815247,355.26966981272165,308.6942087169352,NE,0.45,2.0272727272727282,1.1,1.66,1.1,1020,24,0.636,52,0.0067385752,995.1,969.76,973.02,967.5866666666667,965.35,0.5579999999999999,0.4995120000000001,0.5103880000000001,0.5020720000000001,0.5055940000000001,0.044835528623,0.0403565753396,0.0594800372992,0.06752787491679997,0.0738719988623,12,21,21,17,17,52,52,52,52,116.39,39.99,294.76,153.54166666666666,2015-12-21
7,7986,Beijing,Beijing_Changping,Changping,2015,12,21,355,4,198.125,1017.8958333333336,-1.6833333333333331,-6.276633867416668,71.875,0.0,97.93619509650459,147.1602779985785,277.9677283681916,NW,0.45,1.5,6.291666666666668,2.2,1.0,822,20,0.3319,52,0.01556933174,835.4,887.32,891.92,910.24,915.73,0.38478,0.421592,0.427116,0.4149800000000001,0.427755,0.07590242007300001,0.0657060269992,0.05628362609100001,0.06954644209546666,0.07791702929229999,17,17,17,17,12,52,52,52,52,116.24,40.22,269.8,142.5,2015-12-21
8,9082,Beijing,Beijing_Dongsi,Dongsi,2015,12,21,355,4,241.875,1023.0416666666664,-1.6375000000000004,-4.715044375,81.75,0.0,210.30623034815247,355.26966981272165,316.413275871239,NE,0.45,2.0272727272727282,1.1,1.66,1.1,1055,16,0.508,53,0.02047465131,1031.9,980.4,981.0,976.92,974.97,0.542,0.523512,0.5242280000000001,0.5186586666666667,0.515074,0.04730373074,0.045121134910000006,0.0606742342332,0.062370504633200013,0.0749649018749,16,21,12,17,17,52,52,52,52,116.42,39.93,294.76,153.54166666666666,2015-12-21
9,10175,Beijing,Beijing_Guanyuan,Guanyuan,2015,12,21,355,4,251.3333333333333,1023.0416666666664,-1.6375000000000004,-4.715044375,81.75,0.0,210.30623034815247,355.26966981272165,313.93973077300615,NE,0.45,2.0272727272727282,1.1,1.66,1.1,980,16,0.476,52,0.02944175189,983.3,959.32,956.76,958.28,958.06,0.5539999999999999,0.489112,0.509508,0.4904986666666666,0.4995939999999999,0.018389186321,0.0418606051448,0.0591094138402,0.06375384819719998,0.07452053810920001,16,21,12,17,17,52,52,52,52,116.37,39.94,294.76,153.54166666666666,2015-12-21
10,11270,Beijing,Beijing_Gucheng,Gucheng,2015,12,21,355,4,231.04166666666663,1019.2666666666664,-0.6583333333333331,-4.799223443696505,75.45833333333333,0.0,146.79955464052114,241.2178023601269,310.30658801523606,CV,0.7583333333333333,0.8,0.9333333333333332,1.9428571428571428,1.0,802,12,0.384,52,0.07950394758,823.9,866.6,887.16,900.5066666666668,919.33,0.38478,0.4140720000000001,0.4112759999999999,0.4140733333333333,0.41175500000000004,0.069198279367,0.0482028473812,0.054912122806599996,0.06832066412213335,0.0749595511524,15,13,17,19,17,52,52,52,52,116.19,39.92,133.0,206.0,2015-12-21
11,12366,Beijing,Beijing_Huairou,Huairou,2015,12,21,355,4,144.66666666666666,1017.9083333333333,-2.5458333333333334,-6.604653875,76.33333333333333,0.0,62.968699040651366,89.29693478608141,270.76475849416045,NW,0.3666666666666667,1.175,3.3454545454545452,1.95,0.8500000000000001,1132,16,0.584,52,0.06955031381,1113.4,1080.6,1065.18,1049.4533333333334,1037.04,0.5779799999999999,0.557268,0.542554,0.532956,0.5248740000000001,0.115484132497,0.08327545389079999,0.07523191688879999,0.07642921129026665,0.07897103216779999,15,14,14,14,30,52,52,52,52,116.64,40.34,477.0,153.54166666666666,2015-12-21
12,13460,Beijing,Beijing_Nongzhanguan,Nongzhanguan,2015,12,21,355,4,254.5,1023.0416666666664,-1.6375000000000004,-4.715044339522239,81.75,0.0,228.477022030066,381.5049030762021,315.1302817464783,NE,0.45,2.0272727272727282,1.1,1.66,1.1,1044,24,0.512,31,0.02047465131,1049.4,1030.08,1010.78,993.0933333333336,992.57,0.5336000000000001,0.5523079999999999,0.53279,0.523512,0.5195139999999999,0.046228961385,0.0583115164776,0.0671898053258,0.06635052098040001,0.07517340961670001,16,21,13,19,17,21,52,52,52,116.47,39.95,100.0,75.0,2015-12-21
